,date,code,name,weight
204,2019-02-27,601880,大连港,0.2
205,2019-02-27,601928,凤凰传媒,0.18
206,2019-02-27,601958,金钼股份,0.18
207,2019-02-27,601966,玲珑轮胎,0.22
208,2019-02-27,601969,海南矿业,0.06
209,2019-02-27,601990,南京证券,0.12
210,2019-02-27,603000,人民网,0.28
211,2019-02-27,603025,大豪科技,0.04
212,2019-02-27,603056,德邦股份,0.05
213,2019-02-27,603077,和邦生物,0.29
214,2019-02-27,603169,兰石重装,0.06
215,2019-02-27,603198,迎驾贡酒,0.11
216,2019-02-27,603225,新凤鸣,0.06
217,2019-02-27,603228,景旺电子,0.14
218,2019-02-27,603233,大参林,0.1
219,2019-02-27,603328,依顿电子,0.09
220,2019-02-27,603355,莱克电气,0.05
221,2019-02-27,603369,今世缘,0.28
222,2019-02-27,603377,东方时尚,0.07
223,2019-02-27,603444,吉比特,0.16
224,2019-02-27,603486,科沃斯,0.07
225,2019-02-27,603515,欧普照明,0.13
226,2019-02-27,603556,海兴电力,0.08
227,2019-02-27,603568,伟明环保,0.09
228,2019-02-27,603569,长久物流,0.03
229,2019-02-27,603650,彤程新材,0.04
230,2019-02-27,603658,安图生物,0.14
231,2019-02-27,603659,璞泰来,0.09
232,2019-02-27,603712,七一二,0.05
233,2019-02-27,603766,隆鑫通用,0.14
234,2019-02-27,603806,福斯特,0.09
235,2019-02-27,603816,顾家家居,0.19
236,2019-02-27,603866,桃李面包,0.09
237,2019-02-27,603868,飞科电器,0.06
238,2019-02-27,603877,太平鸟,0.03
239,2019-02-27,603883,老百姓,0.18
240,2019-02-27,603885,吉祥航空,0.2
241,2019-02-27,603888,新华网,0.13
242,2019-02-27,603899,晨光文具,0.23
243,2019-02-27,000006,深振业Ａ,0.16
244,2019-02-27,000008,神州高铁,0.28
245,2019-02-27,000009,中国宝安,0.31
246,2019-02-27,000012,南  玻Ａ,0.15
247,2019-02-27,000021,深科技,0.15
248,2019-02-27,000025,特力A,0.07
249,2019-02-27,000027,深圳能源,0.21
250,2019-02-27,000028,国药一致,0.18
251,2019-02-27,000031,中粮地产,0.19
252,2019-02-27,000039,中集集团,0.32
253,2019-02-27,000049,德赛电池,0.11
254,2019-02-27,000060,中金岭南,0.34
255,2019-02-27,000061,农 产 品,0.11
256,2019-02-27,000062,深圳华强,0.12
257,2019-02-27,000066,中国长城,0.34
258,2019-02-27,000078,海王生物,0.16
259,2019-02-27,000089,深圳机场,0.27
260,2019-02-27,000090,天健集团,0.12
261,2019-02-27,000156,华数传媒,0.16
262,2019-02-27,000158,常山北明,0.13
263,2019-02-27,000400,许继电气,0.18
264,2019-02-27,000401,冀东水泥,0.39
265,2019-02-27,000418,小天鹅Ａ,0.34
266,2019-02-27,000426,兴业矿业,0.13
267,2019-02-27,000488,晨鸣纸业,0.25
268,2019-02-27,000501,鄂武商Ａ,0.12
269,2019-02-27,000513,丽珠集团,0.25
270,2019-02-27,000519,中兵红箭,0.15
271,2019-02-27,000528,柳工,0.21
272,2019-02-27,000536,华映科技,0.14
273,2019-02-27,000537,广宇发展,0.13
274,2019-02-27,000541,佛山照明,0.1
275,2019-02-27,000543,皖能电力,0.16
276,2019-02-27,000547,航天发展,0.32
277,2019-02-27,000552,靖远煤电,0.1
278,2019-02-27,000559,万向钱潮,0.23
279,2019-02-27,000563,陕国投Ａ,0.29
280,2019-02-27,000564,供销大集,0.18
281,2019-02-27,000581,威孚高科,0.34
282,2019-02-27,000587,金洲慈航,0.09
283,2019-02-27,000596,古井贡酒,0.25
284,2019-02-27,000598,兴蓉环境,0.23
285,2019-02-27,000600,建投能源,0.13
286,2019-02-27,000612,焦作万方,0.12
287,2019-02-27,000623,吉林敖东,0.47
288,2019-02-27,000636,风华高科,0.29
289,2019-02-27,000656,金科股份,0.44
290,2019-02-27,000667,美好置业,0.2
291,2019-02-27,000681,视觉中国,0.31
292,2019-02-27,000685,中山公用,0.21
293,2019-02-27,000686,东北证券,0.35
294,2019-02-27,000690,宝新能源,0.35
295,2019-02-27,000712,锦龙股份,0.16
296,2019-02-27,000717,韶钢松山,0.19
297,2019-02-27,000718,苏宁环球,0.15
298,2019-02-27,000723,美锦能源,0.18
299,2019-02-27,000727,华东科技,0.17
300,2019-02-27,000729,燕京啤酒,0.25
301,2019-02-27,000732,泰禾集团,0.21
302,2019-02-27,000738,航发控制,0.23
303,2019-02-27,000750,国海证券,0.48
304,2019-02-27,000758,中色股份,0.19
305,2019-02-27,000761,本钢板材,0.04
306,2019-02-27,000766,通化金马,0.1
307,2019-02-27,000778,新兴铸管,0.39
308,2019-02-27,000807,云铝股份,0.2
309,2019-02-27,000813,德展健康,0.21
310,2019-02-27,000829,天音控股,0.09
311,2019-02-27,000830,鲁西化工,0.37
312,2019-02-27,000848,承德露露,0.14
313,2019-02-27,000860,顺鑫农业,0.46
314,2019-02-27,000877,天山股份,0.15
315,2019-02-27,000878,云南铜业,0.24
316,2019-02-27,000887,中鼎股份,0.23
317,2019-02-27,000926,福星股份,0.15
318,2019-02-27,000930,中粮生化,0.25
319,2019-02-27,000932,华菱钢铁,0.26
320,2019-02-27,000937,冀中能源,0.12
321,2019-02-27,000960,锡业股份,0.35
322,2019-02-27,000969,安泰科技,0.11
323,2019-02-27,000970,中科三环,0.22
324,2019-02-27,000975,银泰资源,0.3
325,2019-02-27,000980,众泰汽车,0.14
326,2019-02-27,000987,越秀金控,0.08
327,2019-02-27,000988,华工科技,0.24
328,2019-02-27,000990,诚志股份,0.09
329,2019-02-27,000997,新 大 陆,0.34
330,2019-02-27,000998,隆平高科,0.38
331,2019-02-27,000999,华润三九,0.27
332,2019-02-27,002002,鸿达兴业,0.17
333,2019-02-27,002004,华邦健康,0.21
334,2019-02-27,002013,中航机电,0.31
335,2019-02-27,002019,亿帆医药,0.23
336,2019-02-27,002028,思源电气,0.15
337,2019-02-27,002030,达安基因,0.18
338,2019-02-27,002038,双鹭药业,0.3
339,2019-02-27,002041,登海种业,0.06
340,2019-02-27,002048,宁波华翔,0.13
341,2019-02-27,002049,紫光国微,0.44
342,2019-02-27,002051,中工国际,0.21
343,2019-02-27,002056,横店东磁,0.16
344,2019-02-27,002064,华峰氨纶,0.16
345,2019-02-27,002074,国轩高科,0.31
346,2019-02-27,002078,太阳纸业,0.31
347,2019-02-27,002092,中泰化学,0.36
348,2019-02-27,002093,国脉科技,0.12
349,2019-02-27,002110,三钢闽光,0.29
350,2019-02-27,002118,紫鑫药业,0.09
351,2019-02-27,002127,南极电商,0.34
352,2019-02-27,002128,露天煤业,0.15
353,2019-02-27,002129,中环股份,0.43
354,2019-02-27,002131,利欧股份,0.19
355,2019-02-27,002147,ST新光,0.06
356,2019-02-27,002152,广电运通,0.22
357,2019-02-27,002155,湖南黄金,0.2
358,2019-02-27,002174,游族网络,0.28
359,2019-02-27,002176,江特电机,0.22
360,2019-02-27,002183,怡亚通,0.23
361,2019-02-27,002191,劲嘉股份,0.24
362,2019-02-27,002195,二三四五,0.4
363,2019-02-27,002212,南洋股份,0.19
364,2019-02-27,002221,东华能源,0.28
365,2019-02-27,002223,鱼跃医疗,0.38
366,2019-02-27,002233,塔牌集团,0.11
367,2019-02-27,002242,九阳股份,0.15
368,2019-02-27,002244,滨江集团,0.19
369,2019-02-27,002249,大洋电机,0.15
370,2019-02-27,002250,联化科技,0.21
371,2019-02-27,002251,步步高,0.09
372,2019-02-27,002254,泰和新材,0.14
373,2019-02-27,002266,浙富控股,0.19
374,2019-02-27,002268,卫士通,0.41
375,2019-02-27,002273,水晶光电,0.24
376,2019-02-27,002276,万马股份,0.13
377,2019-02-27,002277,友阿股份,0.11
378,2019-02-27,002280,联络互动,0.16
379,2019-02-27,002281,光迅科技,0.34
380,2019-02-27,002285,世联行,0.2
381,2019-02-27,002299,圣农发展,0.35
382,2019-02-27,002302,西部建设,0.11
383,2019-02-27,002308,威创股份,0.08
384,2019-02-27,002317,众生药业,0.17
385,2019-02-27,002332,仙琚制药,0.12
386,2019-02-27,002340,格林美,0.38
387,2019-02-27,002344,海宁皮城,0.09
388,2019-02-27,002345,潮宏基,0.06
389,2019-02-27,002353,杰瑞股份,0.26
390,2019-02-27,002354,天神娱乐,0.09
391,2019-02-27,002358,森源电气,0.25
392,2019-02-27,002359,北讯集团,0.15
393,2019-02-27,002366,台海核电,0.21
394,2019-02-27,002368,太极股份,0.19
395,2019-02-27,002371,北方华创,0.26
396,2019-02-27,002372,伟星新材,0.24
397,2019-02-27,002373,千方科技,0.29
398,2019-02-27,002375,亚厦股份,0.11
399,2019-02-27,002384,东山精密,0.43
400,2019-02-27,002385,大北农,0.24
401,2019-02-27,002390,信邦制药,0.11
402,2019-02-27,002399,海普瑞,0.24
403,2019-02-27,002400,省广集团,0.17
404,2019-02-27,002407,多氟多,0.23
405,2019-02-27,002408,齐翔腾达,0.19
406,2019-02-27,002410,广联达,0.5
407,2019-02-27,002414,高德红外,0.17
